"cover","elev","tci","streamdist","disturb","beers"
0,591.9,14.63,0,"SETTLE",0.03992888
0,1047,4.25630522,202.5,"LT-SEL",0.84465969
0,651.6,4.41726112,170,"SETTLE",0.44079173
0,696.7,5.15074778,178.9,"SETTLE",0.32549918
0,634.2,6.2772212,341.8,"SETTLE",0.01847941
0,837.5,8.50003433,0,"LT-SEL",0.33468109
0,903.1,7.21074915,36.06,"LT-SEL",1.99985611
0,1444,4.96249819,339.4,"CORPLOG",1.62228382
0,1409,4.07326698,240.4,"CORPLOG",0.70675302
0,1207,5.55254078,488.4,"CORPLOG",0.00103734
8,1712,3.82358599,454,"VIRGIN",0.83408785
3,1722,3.89376211,453.4,"LT-SEL",1.33325863
0,1640,3.74303794,554.4,"LT-SEL",1.97517288
3,1754,3.14552689,492.5,"SETTLE",1.47124839
0,1645,5.93481588,230,"LT-SEL",0.10068644
0,686.7,4.4099679,36.06,"SETTLE",1.7051053
0,627.1,7.26412916,141.4,"SETTLE",0.06010094
0,587.5,4.28537798,140.4,"SETTLE",1.99969959
0,584.8,5.35235596,110,"SETTLE",1.69064462
0,558.5,9.47808075,10,"SETTLE",0.27322975
0,561,6.0435648,58.31,"SETTLE",0.00982584
0,695.8,4.80601501,80,"SETTLE",0.19846542
0,1404,6.86415911,368.8,"CORPLOG",1.35280645
0,550.8,4.98604107,374.8,"CORPLOG",0.80103254
0,389.4,4.83746576,206.2,"LT-SEL",0.62067944
0,632.1,5.08814096,165.5,"SETTLE",0.21298036
0,1673,5.21011114,340,"VIRGIN",0.0210281
0,1317,6.85952902,340.1,"LT-SEL",1.76574755
0,1410,6.04432487,310.6,"LT-SEL",1.97233117
0,1015,5.6513648,377,"LT-SEL",1.95271218
0,1051,6.98951197,367.7,"VIRGIN",1.84160626
0,1338,5.37122917,353.8,"VIRGIN",1.99989367
0,1176,5.66973686,250,"LT-SEL",1.13292134
0,1067,5.37263489,377.4,"VIRGIN",0.86190045
0,791.4,5.20167923,158.1,"LT-SEL",1.53286242
0,768.7,5.03861618,41.23,"LT-SEL",1.05862534
0,828.9,4.77252579,180.3,"VIRGIN",0.38256145
0,885.6,5.9630332,247,"VIRGIN",0.1500562
0,879.5,5.9129591,325.3,"VIRGIN",1.99690104
0,760.3,4.44317198,214.7,"LT-SEL",1.91494739
0,824.4,4.93527794,268.3,"LT-SEL",1.99971688
0,732,5.14127302,114,"LT-SEL",0.21150754
0,716.2,5.72402906,85.44,"LT-SEL",0.22148336
0,921.1,10.64,36.06,"LT-SEL",1.30161154
0,1164,5.35513592,322,"LT-SEL",1.15807784
0,877.2,4.17201519,76.16,"SETTLE",0.10079743
