"","cover","elev","tci","streamdist","disturb","beers"
"195",6,595.6,4.46126795,250.8,"LT-SEL",0.97821885
"196",6,584,4.80739689,108.2,"LT-SEL",1.51250339
"197",6,598.8,4.82904005,210.2,"LT-SEL",0.72464001
"198",4,606.2,3.7613709,252.4,"LT-SEL",0.05484751
"199",0,848.2,5.35887814,336.2,"LT-SEL",1.92619395
"200",1,917.5,5.20643902,353.8,"LT-SEL",0.81792277
"201",4,941,4.39282799,320.6,"LT-SEL",1.68158853
"202",5,919.9,5.05614424,156.5,"LT-SEL",0.75687164
"203",6,883.4,5.40982389,108.2,"LT-SEL",1.37579525
"204",0,727.2,3.44712996,290.7,"LT-SEL",0.69633603
"205",0,722.2,4.19182587,317.8,"LT-SEL",0.97701114
"206",4,727,3.16103697,250.8,"LT-SEL",1.41699612
"207",8,625.5,4.68501806,63.25,"LT-SEL",0.0068528
"208",7,613.4,4.98365498,36.06,"LT-SEL",1.85831022
"209",1,510.3,8.76585293,312.6,"LT-SEL",1.50207818
"210",6,457.3,9.2308197,28.28,"LT-SEL",1.1679101
"211",4,717.4,4.51472521,460,"LT-SEL",1.14009523
"212",4,706,4.35608196,390.5,"LT-SEL",0.16328752
"213",2,794,3.75529408,360.6,"LT-SEL",1.98356032
"214",4,758.6,4.72222519,63.25,"LT-SEL",1.08114648
"215",3,503.2,4.64458084,355.1,"CORPLOG",0.72824824
"216",6,817.5,8.70455647,465.3,"LT-SEL",0.81304598
"217",6,840.3,7.90501118,408,"LT-SEL",1.70904732
"218",5,544.6,8.5399971,160,"LT-SEL",1.12592888
"219",5,568.9,10.67,250.8,"LT-SEL",1.20157778
"220",4,678.1,5.25798607,214,"LT-SEL",0.0947428
"221",6,581.1,4.57624388,64.03,"LT-SEL",1.7887274
"222",5,582.7,6.23814106,176.9,"LT-SEL",0.34974054
"223",2,590,4.69755602,474.3,"CORPLOG",0.84226847
"224",1,571.5,5.10388613,266.8,"CORPLOG",0.3876434
"225",4,681.4,4.70516014,506,"LT-SEL",0.88299614
"226",4,670.8,4.5713501,462.4,"LT-SEL",0.64879811
"227",2,698.4,3.85004401,197,"LT-SEL",0.43965831
"228",2,716.1,4.26419878,240.4,"LT-SEL",0.10218436
"229",5,709.6,3.68539906,235.4,"LT-SEL",1.06184423
"230",5,676.1,5.47057295,200,"LT-SEL",1.1176964
